date,voucher_num,voucher_type,digest,entry_count,debit_total,credit_total
2021-01-21,银收-1,银收,收到蓬江区世祥商行采购室内用具款,2,18235.0,18235.0
2021-01-21,银收-2,银收,收到蓬江区世祥商行服装采购款,2,72870.0,72870.0
2021-01-07,银付-1,银付,支付建行单位结算卡年费,2,10.0,10.0
2021-01-14,银付-2,银付,支付1月份社保费,7,2079.7,2079.7
2021-01-24,银付-3,银付,采购大人短袖衣服（上海衫城贸易有限公司）96281379,2,22099.0,22099.0
2021-01-26,银付-4,银付,采购烫画（义乌市超宏烫画有限公司）11557948,2,8360.0,8360.0
2021-01-26,银付-5,银付,采购童装短袖衣服（广东莱纯服装有限公司）17774649,2,2060.0,2060.0
2021-01-27,银付-6,银付,支付建行自助设备使用费,2,7.5,7.5
2021-01-27,银付-7,银付,采购钥匙扣（义乌市郎嘉商贸有限公司）54602836,2,589.0,589.0
2021-01-28,银付-8,银付,采购大人卫衣（义乌市弗雷娅服装有限公司）31327961,2,22050.0,22050.0
2021-01-30,银付-9,银付,转账到支付宝备用金,2,500.0,500.0
2021-01-30,银付-10,银付,采购童装卫衣（东莞市宜米之家童装有限公司）29299703,2,3292.0,3292.0
2021-01-30,银付-11,银付,采购收纳袋（奥艺（上海）贸易有限公司））11691084,3,1412.66,1412.66
2021-01-30,银付-12,银付,采购盲盒（合肥晔彤商贸有限公司）05561368,2,1732.4,1732.4
2021-01-30,银付-13,银付,采购盲盒（上海悦佳小商品市场经营管理有限公司）34410114,2,633.36,633.36
2021-01-30,银付-14,银付,采购玩具（汕头市澄海区贝哆玩具有限公司）56619108,2,312.71,312.71
2021-01-30,银付-15,银付,采购袜子（东莞市赐美服装有限公司）19979134,2,74.98,74.98
2021-01-30,银付-16,银付,采购小书包（深圳市唯诺讯科技有限公司）,2,546.0,546.0
2021-01-30,银付-17,银付,采购抱枕（扬州非可玩具有限公司）49287767,2,370.0,370.0
2021-01-30,银付-18,银付,采购地垫（厦门科美诺文化科技有限公司）19874868,2,329.0,329.0
2021-01-30,银付-19,银付,采购玩具（义乌市魅拔贸易有限公司）55588313,2,132.0,132.0
2021-01-30,银付-20,银付,采购玩具（上海童励科技有限公司）10893870,3,179.92,179.92
2021-01-30,银付-21,银付,采购抱枕（杭州市布绒坊商贸有限公司）48185731,2,333.76,333.76
2021-01-30,银付-22,银付,采购泰迪熊（临沂本真礼品有限公司）16074151,2,435.35,435.35
2021-01-30,银付-23,银付,采购玩具（扬州斯克玩具有限公司）49284616,2,180.0,180.0
2021-01-30,银付-24,银付,采购陶瓷杯（深圳德惠陶瓷实业有限公司）06282510,2,1184.0,1184.0
2021-01-30,银付-25,银付,采购盲盒（义乌市朗盛贸易有限公司）,2,247.0,247.0
2021-01-30,银付-26,银付,采购笔记本（义乌市墨言文化用品有限公司）56673457,2,197.27,197.27
2021-01-30,银付-27,银付,采购玩具兔（佛山市萌乐奇创意产品有限公司）,2,488.0,488.0
2021-01-30,银付-28,银付,采购泰迪熊（扬州萌豆豆玩具有限公司）,2,221.48,221.48
2021-01-30,银付-29,银付,采购鼠标垫（廊坊整点科技有限公司）,2,743.7,743.7
2021-01-30,银付-30,银付,采购相框（深圳市奇佳工艺品有限公司）597337836,2,800.0,800.0
2021-01-30,银付-31,银付,采购收纳柜（上海羽维电子商务有限公司）36523551,2,3258.0,3258.0
2021-01-30,银付-32,银付,采购家具（徐州三叉戟家具有限公司）79277632,2,2560.0,2560.0
2021-01-30,银付-33,银付,采购文具（福州市台江区信诚贸易有限公司）19941619,2,633.6,633.6
2021-01-30,银付-34,银付,采购家具（福建安溪简欧工艺品有限公司）14142059,2,1524.0,1524.0
2021-01-30,银付-35,银付,采购家具（锦华顺兴（香港）实业有限公司））,2,248.0,248.0
2021-01-30,银付-36,银付,采购家具（厦门老木匠心家居有限公司）19852094,2,180.0,180.0
2021-01-30,银付-37,银付,采购家具（安溪县城厢巧华家具店）85423758,2,326.7,326.7
2021-01-30,银付-38,银付,采购家具,2,186.62,186.62
2021-01-30,银付-39,银付,采购家具（广州恒达置业有限公司）,2,211.03,211.03
2021-01-31,银付-40,银付,采购家具（深圳市华创商业展示有限公司）42141132,2,1844.11,1844.11
2021-01-31,银付-41,银付,采购家具（广州多艺多贸易有限公司）34540439,2,2168.0,2168.0
2021-01-31,银付-42,银付,采购家具（徐州欧耐家具有限公司）63246037,2,408.0,408.0
2021-01-31,转-1,转,计提1月份社保费,6,1391.74,1391.74
2021-01-31,转-2,转,计提1月份工资,3,11500.0,11500.0
2021-01-31,转-3,转,从东莞米纯购卫衣200件,2,3292.0,3292.0
2021-01-31,转-4,转,从义乌弗雷娅购卫衣625件,2,22050.0,22050.0
2021-01-31,转-5,转,从东莞纯衣购T恤200件,2,2060.0,2060.0
2021-01-31,转-6,转,从上海衫城购T恤1550件,2,22099.0,22099.0
2021-01-31,转-7,转,从义乌超宏购烫画纸1520张2021-01-26No.11557948,2,8360.0,8360.0
2021-01-31,转-8,转,计提购销合同印花税,2,12.4,12.4
2021-01-31,转-9,转,1月  结转损益,6,12921.64,12921.64
